,T4T,G,AC,AD
Gen 1,0.25,0.25,0.25,0.25
Gen 2,0.26,0.29,0.2,0.25
Gen 3,0.27,0.33,0.15,0.25
Gen 4,0.28,0.37,0.1,0.25
Gen 5,0.29,0.41,0.05,0.25
Gen 6,0.29,0.44,0.02,0.25
Gen 7,0.29,0.45,0.01,0.25
Gen 8,0.34,0.45,0,0.21
Gen 9,0.38,0.45,0,0.17
Gen 10,0.43,0.45,0,0.12
Gen 11,0.48,0.45,0,0.07
Gen 12,0.53,0.44,0,0.03
Gen 13,0.58,0.41,0,0.01
Gen 14,0.63,0.37,0,0
Gen 15,0.68,0.32,0,0
Gen 16,0.73,0.27,0,0
Gen 17,0.78,0.22,0,0
Gen 18,0.83,0.17,0,0
Gen 19,0.88,0.12,0,0
Gen 20,0.93,0.07,0,0
