,T4T,G,AC,AD
Gen 1,1.56,2.03,1.49,2.01
Gen 2,1.55,1.98,1.48,1.97
Gen 3,1.57,1.98,1.55,1.97
Gen 4,2.04,1.98,1.55,1.97
Gen 5,2.15,2.11,1.55,1.97
Gen 6,1.86,2.04,1.55,1.97
Gen 7,1.74,2.01,1.55,1.97
Gen 8,1.75,1.99,1.55,1.97
Gen 9,1.57,1.98,1.55,1.97
Gen 10,2.04,1.98,1.55,1.97
Gen 11,2.15,2.11,1.55,1.97
Gen 12,1.86,2.04,1.55,1.97
Gen 13,1.74,2.01,1.55,1.97
Gen 14,1.75,1.99,1.55,1.97
Gen 15,1.57,1.98,1.55,1.97
Gen 16,2.04,1.98,1.55,1.97
Gen 17,2.15,2.11,1.55,1.97
Gen 18,1.86,2.04,1.55,1.97
Gen 19,1.74,2.01,1.55,1.97
Gen 20,1.75,1.99,1.55,1.97
