,T4T,G,AC,AD
Gen 1,0.25,0.25,0.25,0.25
Gen 2,0.26,0.24,0.24,0.26
Gen 3,0.28,0.24,0.24,0.24
Gen 4,0.28,0.24,0.24,0.24
Gen 5,0.28,0.24,0.24,0.24
Gen 6,0.28,0.24,0.24,0.24
Gen 7,0.28,0.24,0.24,0.24
Gen 8,0.28,0.24,0.24,0.24
Gen 9,0.28,0.24,0.24,0.24
Gen 10,0.28,0.24,0.24,0.24
Gen 11,0.28,0.24,0.24,0.24
Gen 12,0.28,0.24,0.24,0.24
Gen 13,0.28,0.24,0.24,0.24
Gen 14,0.28,0.24,0.24,0.24
Gen 15,0.28,0.24,0.24,0.24
Gen 16,0.28,0.24,0.24,0.24
Gen 17,0.28,0.24,0.24,0.24
Gen 18,0.28,0.24,0.24,0.24
Gen 19,0.28,0.24,0.24,0.24
Gen 20,0.28,0.24,0.24,0.24
