,T4T,G,AC,AD
Gen 1,19355,25115,18390,24875
Gen 2,17355,27120,9000,19875
Gen 3,14720,27395,3255,15875
Gen 4,11950,28465,1035,13875
Gen 5,9895,29595,255,12875
Gen 6,13540,29365,0,7920
Gen 7,17505,29820,0,3960
Gen 8,21315,27880,0,1980
Gen 9,26855,23760,0,990
Gen 10,33850,19305,0,495
Gen 11,41085,14850,0,0
Gen 12,47750,10395,0,0
Gen 13,53935,6930,0,0
Gen 14,53210,4455,0,0
Gen 15,61565,2970,0,0
Gen 16,64955,990,0,0
Gen 17,66770,990,0,0
Gen 18,69995,0,0,0
Gen 19,89130,0,0,0
Gen 20,64815,0,0,0
